Filename,Timestamp,Words_Out_of_Order,Longest_Consecutive_Count,Count_of_Audible_Words
09-30-2021 00-12-31.wav,2023-10-03 23:15:42.958475,False,10,10
09-30-2021 02-14-07.wav,2023-10-03 23:15:50.602547,False,10,10
09-30-2021 01-58-07.wav,2023-10-03 23:15:53.995039,False,10,10
09-30-2021 01-10-55.wav,2023-10-03 23:16:17.154613,False,0,0
09-30-2021 03-27-43.wav,2023-10-03 23:16:20.567919,True,0,1
09-30-2021 02-42-55.wav,2023-10-03 23:16:28.324156,False,10,10
09-30-2021 02-25-19.wav,2023-10-03 23:16:31.732613,False,10,10
09-30-2021 01-02-55.wav,2023-10-03 23:16:34.621941,False,0,0
09-30-2021 02-29-19.wav,2023-10-03 23:16:37.788819,False,6,6
09-30-2021 02-50-55.wav,2023-10-03 23:16:44.276408,True,0,1
09-30-2021 02-37-19.wav,2023-10-03 23:16:47.157636,False,0,0
09-30-2021 01-34-55.wav,2023-10-03 23:16:50.089564,False,0,0
09-30-2021 03-03-43.wav,2023-10-03 23:16:53.219568,True,0,1
09-30-2021 01-53-19.wav,2023-10-03 23:16:59.460134,False,0,0
09-30-2021 02-01-19.wav,2023-10-03 23:17:02.728174,True,0,1
09-30-2021 00-51-43.wav,2023-10-03 23:17:06.172300,False,10,10
09-30-2021 01-26-55.wav,2023-10-03 23:17:15.127693,False,0,0
09-30-2021 01-41-19.wav,2023-10-03 23:17:21.730893,False,10,10
09-30-2021 03-11-43.wav,2023-10-03 23:17:25.113105,False,10,10
09-30-2021 01-38-55.wav,2023-10-03 23:17:28.532508,False,10,10
09-30-2021 00-43-43.wav,2023-10-03 23:17:31.898845,False,10,10
09-30-2021 02-13-19.wav,2023-10-03 23:17:38.509285,False,10,10
09-30-2021 01-04-31.wav,2023-10-03 23:17:47.573409,False,0,0
09-30-2021 02-48-31.wav,2023-10-03 23:17:50.966383,False,10,10
09-30-2021 00-50-07.wav,2023-10-03 23:18:20.638990,False,0,0
09-30-2021 02-56-31.wav,2023-10-03 23:18:28.389390,False,10,10
09-30-2021 03-02-07.wav,2023-10-03 23:18:31.276289,False,0,0
09-30-2021 01-16-31.wav,2023-10-03 23:18:34.651687,False,10,10
09-30-2021 00-42-07.wav,2023-10-03 23:18:38.030271,False,10,10
09-30-2021 02-44-31.wav,2023-10-03 23:18:45.128757,False,10,10
09-30-2021 03-10-07.wav,2023-10-03 23:18:48.536286,False,10,10
09-30-2021 01-08-31.wav,2023-10-03 23:19:12.920152,True,0,1
09-30-2021 01-20-31.wav,2023-10-03 23:19:15.850591,False,0,0
